Wavenumber (cm-1),Original Intensity,Fitted Intensity,Residual
332.0,0.3349144756793976,0.3104026483360452,0.024511827343352388
333.0,0.32449960708618164,0.3119668788626709,0.012532728223510758
334.0,0.31944039463996887,0.3135342962215037,0.005906098418465178
335.0,0.32119086384773254,0.3151043234707928,0.006086540376939731
336.0,0.3238300085067749,0.3166763608332361,0.007153647673538821
337.0,0.3210161328315735,0.3182497855659821,0.0027663472655913846
338.0,0.31200483441352844,0.319823951875701,-0.007819117462172565
339.0,0.3051643669605255,0.3213981908818607,-0.01623382392133521
340.0,0.3056170642375946,0.3229718106313583,-0.01735474639376372
341.0,0.30828163027763367,0.3245440961676664,-0.016262465890032718
342.0,0.3116569221019745,0.3261143096576369,-0.014457387555662393
343.0,0.31710779666900635,0.32768169057907526,-0.01057389391006891
344.0,0.32347333431243896,0.3292454559721429,-0.0057721216597039215
345.0,0.32526201009750366,0.33080480075757296,-0.005542790660069297
346.0,0.31467577815055847,0.33235889812458796,-0.017683119974029493
347.0,0.30072858929634094,0.33390689999128226,-0.033178310694941315
348.0,0.2974182963371277,0.33544793754009017,-0.03802964120296248
349.0,0.30584004521369934,0.33698112183078194,-0.031141076617082597
350.0,0.314505010843277,0.33850554449323184,-0.02400053364995486
351.0,0.3152305781841278,0.34002027850196936,-0.024789700317841556
352.0,0.31436923146247864,0.34152437903427,-0.027155147571791383
353.0,0.3126572072505951,0.34301688441325157,-0.030359677162656473
354.0,0.31106820702552795,0.3444968171371247,-0.03342861011159676
355.0,0.3102432191371918,0.34596318499540485,-0.035719965858213076
356.0,0.30850809812545776,0.34741498227251155,-0.03890688414705379
357.0,0.30752238631248474,0.34885119103878504,-0.041328804726300294
358.0,0.30746567249298096,0.3502707825285196,-0.04280511003553866
359.0,0.3063462972640991,0.35167271860415605,-0.04532642134005693
360.0,0.3059951961040497,0.353055953305305,-0.0470607572012553
361.0,0.3060336410999298,0.3544194344807681,-0.048385793380838316
362.0,0.30367961525917053,0.355762105501213,-0.05208249024204248
